kode_provinsi,nama_provinsi,tahun,jenis_rabies,jumlah_kasus_rabies,orderer
91,"Prov. Papua Barat",2012,"LYSSA",0,3
94,"Prov. Papua",2010,"GHPR",0,1
94,"Prov. Papua",2010,"VAR",0,2
94,"Prov. Papua",2010,"LYSSA",0,3
94,"Prov. Papua",2011,"GHPR",0,1
94,"Prov. Papua",2011,"VAR",0,2
94,"Prov. Papua",2011,"LYSSA",0,3
94,"Prov. Papua",2012,"GHPR",0,1
94,"Prov. Papua",2012,"VAR",0,2
94,"Prov. Papua",2012,"LYSSA",0,3
